"fecha","provincia","color","Comuns_high","Comuns_low","Comuns_mean","Comuns_med","Cs_high","Cs_low","Cs_mean","Cs_med","CUP_high","CUP_low","CUP_mean","CUP_med","ERC_high","ERC_low","ERC_mean","ERC_med","Junts_high","Junts_low","Junts_mean","Junts_med","PDeCAT_high","PDeCAT_low","PDeCAT_mean","PDeCAT_med","PP_high","PP_low","PP_mean","PP_med","PSC_high","PSC_low","PSC_mean","PSC_med","Vox_high","Vox_low","Vox_mean","Vox_med","lat","long","esc"
2021-02-14,"Barcelona","PSC",9.6,4.4,7,7,10.8,5.2,8,8,7.8,2.2,5,5,19.9,14.1,17.2,17,18.9,13.1,16.1,16,2.1,0,1,0,6.9,1.1,3.9,4,24.3,17.7,21.5,21,7.8,2.2,5.3,5,41.390205,2.154007,85
2021-02-14,"Girona","Junts",0.6,0,0.4,0,1.7,0.3,0.8,1,1.7,0.3,1.2,1,4.8,3.2,4,4,7.9,6.1,7,7,0.5,0,0.2,0,0.5,0,0.2,0,3.8,2.2,2.6,3,1.7,0.3,0.6,1,41.979401,2.821426,17
2021-02-14,"Lleida","Junts",0.6,0,0.3,0,1.7,0.3,0.6,1,1.6,0.4,0.8,1,4.7,3.3,4.5,4,6.8,5.2,5.6,6,0.4,0,0.1,0,0.6,0,0.4,0,2.7,1.3,2.3,2,0.6,0,0.4,0,41.617592,0.620015,15
2021-02-14,"Tarragona","ERC",1.7,0.3,0.8,1,2.7,1.3,1.6,2,1.7,0.3,0.8,1,5.8,4.2,4.6,5,4.8,3.2,4.1,4,0.5,0,0.1,0,1.7,0.3,0.7,1,4.8,3.2,3.9,4,1.7,0.3,1.4,1,41.115696,1.249594,18
