"","id_party","pct_med","Noveno","Octavo","Septimo","Sexto","Quinto","Cuarto","Tercero","Segundo","Primero"
"1","PSC",21.7,0,0,0,0,0,0.01,17.27,26.25,56.48
"2","ERC",20.3,0,0,0,0.01,0,0.07,34.49,38.2,27.24
"3","Junts",19.7,0,0,0,0,0.02,0.02,48.13,35.56,16.28
"4","Cs",10.1,0,0.39,1.37,4.37,14.77,79.01,0.1,0,0
"5","Comuns",7.3,0.6,6.55,14.18,24.06,41.48,13.13,0.01,0,0
"6","CUP",5.7,3.81,25.33,27.57,25.13,14.98,3.19,0,0,0
"7","Vox",5.7,4.01,26.25,28.08,24.55,14.47,2.64,0,0,0.01
"8","PP",5.5,5.06,31.24,26.42,21.22,14.14,1.92,0.01,0,0
"9","PDeCAT",1.6,86.53,10.25,2.39,0.67,0.15,0.02,0,0,0
